premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain,conviction,obviousness_penalty,stat_strength,temporal_validity,composite_score,rule_id,policy_score,llm_reasoning,llm_policy_recommendation,lead_time_days
"calm_mobile_baseline, vaccine_mentioned_lag3",grocery_spike,155,23.59208523592085,87.74193548387098,2.066181061394381,0.1068159546298033,True,4.680759275237274,0.2,0.629850483950452,1.0,0.7319401935801807,0,9,"During Phase 2, the forecast indicates that a calm mobile baseline combined with vaccine mentions can lead to increased grocery shopping. This enables decision-makers to anticipate consumer behavior and adjust supply chain strategies accordingly.",The National Emergency Crisis and Disaster Management Authority (NCEMA) should monitor the calm mobile baseline and vaccine mentions to pre-emptively manage grocery supply and distribution.,3
"calm_mobile_baseline, high_positive_sentiment_lag1",grocery_spike_lead7,96,14.61187214611872,91.66666666666666,2.105769230769231,0.0703349249042624,True,5.999999999999989,0.0,0.5594052048306661,1.0,0.7237620819322664,1,8,"In Phase 2, high positive sentiment alongside a calm mobile baseline is a strong predictor of future grocery spikes. This insight allows for better planning in retail and logistics.",The Department of Health Abu Dhabi (DHA) should track high positive sentiment and calm mobile conditions to optimize grocery supply chains in anticipation of increased demand.,7
"high_positive_sentiment, calm_mobile_baseline",grocery_spike_lead7,98,14.91628614916286,90.81632653061224,2.0862351933780507,0.0705318441604173,True,5.444444444444445,0.0,0.5354230952854093,1.0,0.7141692381141638,2,8,This rule from Phase 2 suggests that high positive sentiment combined with a calm mobile baseline can forecast grocery spikes. It provides actionable insights for retailers.,The Ministry of Health and Prevention (MoHAP) should monitor high positive sentiment and calm mobile conditions to inform grocery retailers about potential demand surges.,7
"calm_mobile_baseline, sentiment_worsened_lag7",grocery_spike_lead7,73,11.11111111111111,91.78082191780824,2.1083916083916083,0.0536106883138846,True,6.083333333333342,0.0,0.4957880982042057,1.0,0.6983152392816823,3,7,"In Phase 2, a worsening sentiment combined with a calm mobile baseline can predict future grocery spikes. This indicates a need for monitoring public sentiment.",The UAE Government should track sentiment changes to prepare grocery supply chains for potential spikes in demand.,7
"high_positive_sentiment, calm_mobile_baseline",grocery_spike_lead2,98,14.91628614916286,88.77551020408163,2.0756409325295957,0.0686228857242806,True,4.454545454545454,0.0,0.4926742063293307,1.0,0.6970696825317323,4,8,"This rule indicates that high positive sentiment and a calm mobile baseline can lead to grocery spikes in the near future, relevant during Phase 2.",The NCEMA should monitor high positive sentiment and calm mobile conditions to proactively manage grocery supply and distribution.,2
"calm_mobile_baseline, high_positive_sentiment_lag1",grocery_spike,96,14.61187214611872,88.54166666666666,2.085013440860215,0.0673255353307896,True,5.0074515648286075,0.2,0.4904537135667623,1.0,0.6761814854267049,5,9,"In Phase 2, high positive sentiment with a calm mobile baseline is a strong predictor of immediate grocery spikes, allowing for timely responses.",The DHA should track high positive sentiment and calm mobile conditions to ensure grocery supply meets anticipated demand.,1
"calm_mobile_baseline, sentiment_worsened_lag7",grocery_spike,73,11.11111111111111,90.41095890410958,2.129032258064516,0.0532724505327245,True,5.983606557377039,0.2,0.4893570477364357,1.0,0.6757428190945742,6,7,"This rule suggests that a calm mobile baseline with worsening sentiment can forecast grocery spikes, which is useful for situational awareness in Phase 2.",The MoHAP should monitor sentiment trends to prepare grocery supply chains for potential demand increases.,7
"grocery_spike, high_positive_sentiment_lag1",calm_mobile_baseline,105,15.981735159817353,80.95238095238095,2.09392575928009,0.0675896388037502,True,3.168777943368108,0.0,0.3948014879758229,1.0,0.6579205951903292,7,6,"During Phase 2, a grocery spike followed by high positive sentiment indicates a potential return to calm mobile conditions, useful for understanding consumer behavior.",The UAE Government should monitor grocery spikes and sentiment to gauge public confidence and adjust policies accordingly.,1
"grocery_spike, sentiment_worsened_lag3",calm_mobile_baseline,81,12.32876712328767,82.71604938271605,2.139545056867892,0.0543149642417797,True,3.4921226314668945,0.0,0.39355764326698345,1.0,0.6574230573067934,8,6,"This rule indicates that a grocery spike and worsening sentiment can lead to a calm mobile baseline, providing insights into consumer behavior during Phase 2.",The NCEMA should track grocery spikes and sentiment changes to assess public behavior and adjust health communications.,3
"grocery_spike, policy_governance_discussion_lag7",calm_mobile_baseline,72,10.95890410958904,83.33333333333334,2.155511811023622,0.0489564437772356,True,3.621460506706412,0.0,0.39077879296748697,1.0,0.6563115171869948,9,6,"In Phase 2, a grocery spike combined with discussions on policy governance can lead to a calm mobile baseline, indicating shifts in public sentiment.",The MoHAP should monitor grocery spikes and policy discussions to understand public sentiment and inform future health policies.,7
